id,bus_id,pmu_id,event_date,event_time,vol_mag,vol_angle,current_mag,current_angle,frequency,rocof
135,BUSID_04,PMU_04,1/24/2021,11:11:02,7.9966,-11.529,0.7055,-79.6,60.031,-0.0008
136,BUSID_04,PMU_04,1/24/2021,12:00:00,7.9966,-11.529,0.7055,-79.6,60.031,-0.0008
137,BUSID_04,PMU_04,1/24/2021,12:47:31,7.9966,-11.529,0.7055,-79.6,60.031,-0.001
138,BUSID_04,PMU_04,1/24/2021,13:35:02,7.9966,-11.529,0.7055,-79.6,60.031,-0.001
139,BUSID_04,PMU_04,1/24/2021,14:24:00,7.9966,-11.529,0.7055,-79.6,60.031,-0.0011
140,BUSID_04,PMU_04,1/24/2021,15:11:31,7.9966,-11.529,0.7055,-79.6,60.031,-0.0013
141,BUSID_04,PMU_04,1/24/2021,15:59:02,7.9967,-11.529,0.7055,-79.6,60.031,-0.0013
142,BUSID_04,PMU_04,1/24/2021,16:48:00,7.9967,-11.529,0.7055,-79.6,60.031,-0.0013
143,BUSID_04,PMU_04,1/24/2021,17:35:31,7.9967,-11.529,0.7055,-79.6,60.03,-0.0016
144,BUSID_04,PMU_04,1/24/2021,18:23:02,7.9967,-11.529,0.7055,-79.6,60.03,-0.0015
145,BUSID_04,PMU_04,1/24/2021,19:12:00,7.9967,-11.529,0.7055,-79.6,60.03,-0.0016
146,BUSID_04,PMU_04,1/24/2021,19:59:31,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
147,BUSID_04,PMU_04,1/24/2021,20:47:02,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
148,BUSID_04,PMU_04,1/24/2021,21:36:00,7.9967,-11.529,0.7055,-79.6,60.03,-0.0018
149,BUSID_04,PMU_04,1/24/2021,22:23:31,7.9966,-11.528,0.7055,-79.599,60.03,-0.0021
150,BUSID_04,PMU_04,1/24/2021,23:11:02,7.9966,-11.528,0.7055,-79.599,60.03,-0.002
151,BUSID_04,PMU_04,1/24/2021,0:00:00,7.9966,-11.528,0.7055,-79.599,60.03,-0.0021
152,BUSID_04,PMU_04,1/24/2021,0:47:31,7.9966,-11.528,0.7055,-79.599,60.03,-0.0023
153,BUSID_04,PMU_04,1/24/2021,1:35:02,7.9966,-11.528,0.7055,-79.599,60.03,-0.0022
154,BUSID_04,PMU_04,1/24/2021,2:24:00,7.9965,-11.528,0.7055,-79.599,60.03,-0.0023
155,BUSID_04,PMU_04,1/24/2021,3:11:31,7.9965,-11.528,0.7055,-79.599,60.03,-0.0025
156,BUSID_04,PMU_04,1/24/2021,3:59:02,7.9965,-11.528,0.7055,-79.599,60.03,-0.0024
157,BUSID_04,PMU_04,1/24/2021,4:48:00,7.9965,-11.528,0.7055,-79.599,60.029,-0.0025
158,BUSID_04,PMU_04,1/24/2021,5:35:31,7.9965,-11.528,0.7055,-79.599,60.029,-0.0027
159,BUSID_04,PMU_04,1/24/2021,6:23:02,7.9965,-11.528,0.7055,-79.599,60.029,-0.0026
