Time,Voltage Magnitude,Voltage Angle,Current Magnitude,Current Angle,Frequency,ROCOF
7.133,7.9962,-11.526,0.7055,-79.596,60.021,-0.0056
7.166,7.9962,-11.526,0.7055,-79.595,60.021,-0.0055
7.2,7.9962,-11.526,0.7055,-79.595,60.021,-0.0055
7.233,7.9962,-11.526,0.7055,-79.595,60.021,-0.0057
7.266,7.9962,-11.526,0.7055,-79.595,60.021,-0.0056
7.3,7.9962,-11.526,0.7055,-79.595,60.02,-0.0056
7.333,7.9962,-11.526,0.7055,-79.595,60.02,-0.0058
7.366,7.9962,-11.525,0.7055,-79.595,60.02,-0.0057
7.4,7.9962,-11.526,0.7055,-79.595,60.02,-0.0056
7.433,7.9962,-11.526,0.7055,-79.595,60.02,-0.0059
7.466,7.9962,-11.525,0.7055,-79.595,60.019,-0.0057
7.5,7.9962,-11.525,0.7055,-79.595,60.019,-0.0057
7.533,7.9962,-11.525,0.7055,-79.595,60.019,-0.0059
7.566,7.9961,-11.525,0.7055,-79.594,60.019,-0.0058
7.6,7.9961,-11.525,0.7055,-79.594,60.019,-0.0058
7.633,7.9961,-11.525,0.7055,-79.594,60.019,-0.006
7.666,7.9961,-11.525,0.7055,-79.594,60.018,-0.0058
7.7,7.9961,-11.525,0.7055,-79.594,60.018,-0.0058
7.733,7.9961,-11.525,0.7055,-79.594,60.018,-0.006
7.766,7.9961,-11.525,0.7055,-79.594,60.018,-0.0059
7.8,7.9961,-11.525,0.7055,-79.594,60.017,-0.0059
7.833,7.9961,-11.525,0.7055,-79.594,60.017,-0.0061
7.866,7.9961,-11.525,0.7055,-79.594,60.017,-0.006
7.9,7.9961,-11.525,0.7055,-79.594,60.017,-0.0059
7.933,7.9961,-11.525,0.7055,-79.594,60.017,-0.0062
7.966,7.9961,-11.525,0.7055,-79.593,60.017,-0.006
8,7.9961,-11.525,0.7055,-79.594,60.016,-0.006
8.033,7.9961,-11.525,0.7055,-79.593,60.016,-0.0062
8.066,7.9961,-11.525,0.7055,-79.593,60.016,-0.006
8.1,7.9961,-11.524,0.7055,-79.593,60.016,-0.006
8.133,7.9961,-11.524,0.7055,-79.593,60.016,-0.0062
8.166,7.9961,-11.524,0.7055,-79.593,60.015,-0.006
8.2,7.9961,-11.524,0.7055,-79.593,60.015,-0.006
8.233,7.996,-11.524,0.7055,-79.593,60.015,-0.0062
8.266,7.996,-11.524,0.7055,-79.593,60.015,-0.006
8.3,7.996,-11.524,0.7055,-79.593,60.014,-0.006
